id,title,description,link,image_link,condition,availability,price,google_product_category,brand
388,"Hạt Giống Súp Lơ San Hô - 0.5 Gram","Hạt Giống Súp Lơ San Hô - 0.5 Gram",https://hatgionglamson.com/san-pham/hat-giong-sup-lo-san-ho-0.5-gram-388.html,/asset/upload/image/hat-giong-sup-lo-san-ho.jpg?v=20190410,New,"In Stock","30,000 VND",,
387,"Hạt Giống Tỏi Tây ( Boa Rô) - 0.5 Gram","Hạt Giống Tỏi Tây ( Boa Rô) - 0.5 Gram",https://hatgionglamson.com/san-pham/hat-giong-toi-tay-(-boa-ro)-0.5-gram-387.html,/asset/upload/image/hat-giong-toi-tay-hanh-boaro.jpg?v=20190410,New,"In Stock","30,000 VND",,
386,"Hạt Giống Dưa Hấu Nụ - 20 Hạt","Hạt Giống Dưa Hấu Nụ - 20 Hạt",https://hatgionglamson.com/san-pham/hat-giong-dua-hau-nu-20-hat-386.html,/asset/upload/image/hat-giong-dua-hau-nu.jpg?v=20190410,New,"In Stock","30,000 VND",,
385,"Hạt Giống Mướp Rắn - 5 Hạt","Hạt Giống Mướp Rắn - 5 Hạt",https://hatgionglamson.com/san-pham/hat-giong-muop-ran-5-hat-385.html,/asset/upload/image/hat-giong-muop-ran.jpg?v=20190410,New,"In Stock","30,000 VND",,
384,"Hạt Giống Súp Lơ Trắng - 0.5 Gram","Hạt Giống Súp Lơ Trắng - 0.5 Gram",https://hatgionglamson.com/san-pham/hat-giong-sup-lo-trang-0.5-gram-384.html,/asset/upload/image/hat-giong-sup-lo-trang.jpg?v=20190410,New,"In Stock","30,000 VND",,
383,"Hạt Giống Xà Lách Búp Đăm - 2 Gram","Hạt Giống Xà Lách Búp Đăm - 2 Gram",https://hatgionglamson.com/san-pham/hat-giong-xa-lach-bup-dam-2-gram-383.html,/asset/upload/image/xa-lach-bup-mo-dam.jpg?v=20190410,New,"In Stock","30,000 VND",,
382,"Hạt Giống Xà Lách Minetto - 2 Gram","Hạt Giống Xà Lách Minetto - 2 Gram",https://hatgionglamson.com/san-pham/hat-giong-xa-lach-minetto-2-gram-382.html,/asset/upload/image/hat-giong-xa-lach-minetto.jpg?v=20190410,New,"In Stock","30,000 VND",,
381,"Hạt Giống Atiso Đỏ ( Bụp Giấm) - 50 Hạt","Hạt Giống Atiso Đỏ ( Bụp Giấm) - 50 Hạt",https://hatgionglamson.com/san-pham/hat-giong-atiso-do-(-bup-giam)-50-hat-381.html,/asset/upload/image/hat-giong-Atiso-do-Bup-Giam.jpg?v=20190410,New,"In Stock","30,000 VND",,
380,"Hạt Giống Cà Chua Bí Ngô - 20 Hạt","Hạt Giống Cà Chua Bí Ngô - 20 Hạt",https://hatgionglamson.com/san-pham/hat-giong-ca-chua-bi-ngo-20-hat-380.html,/asset/upload/image/ca-chua-bi-ngo-13.png?v=20190410,New,"In Stock","30,000 VND",,
379,"Hạt Giống Dưa Leo Gai Trắng - 10 Hạt","Hạt Giống Dưa Leo Gai Trắng - 10 Hạt",https://hatgionglamson.com/san-pham/hat-giong-dua-leo-gai-trang-10-hat-379.html,/asset/upload/image/dua-leo-gai-trang.jpg?v=20190410,New,"In Stock","30,000 VND",,
378,"Hạt Giống Dưa Chuột Mỹ Siêu Dài - 5 Hạt","Hạt Giống Dưa Chuột Mỹ Siêu Dài - 5 Hạt",https://hatgionglamson.com/san-pham/hat-giong-dua-chuot-my-sieu-dai-5-hat-378.html,/asset/upload/image/hat-giong-dua-chuot-anemina.jpg?v=20190410,New,"In Stock","30,000 VND",,
377,"Hạt Giống Bí Ngô Chuối Pinka - 5 Hạt","Hạt Giống Bí Ngô Chuối Pinka - 5 Hạt",https://hatgionglamson.com/san-pham/hat-giong-bi-ngo-chuoi-pinka-5-hat-377.html,/asset/upload/image/hat-giong-bi-ngo-chuoi-pinka.jpg?v=20190410,New,"In Stock","30,000 VND",,
376,"Hạt Giống Bí Ngô Khổng Lồ - 5 Hạt","Hạt Giống Bí Ngô Khổng Lồ - 5 Hạt",https://hatgionglamson.com/san-pham/hat-giong-bi-ngo-khong-lo-5-hat-376.html,/asset/upload/image/hat-giong-bi-ngo-khong-lo.jpg?v=20190410,New,"In Stock","30,000 VND",,
375,"Hạt Giống Cải Xoăn Kale Laci - 100 Hạt","Hạt Giống Cải Xoăn Kale Laci - 100 Hạt",https://hatgionglamson.com/san-pham/hat-giong-cai-xoan-kale-laci-100-hat-375.html,/asset/upload/image/Kale_Lacinato.jpg?v=20190410,New,"In Stock","30,000 VND",,
374,"Hạt Giống Cải Shiro Ngọt - 0.5 Gram","Hạt Giống Cải Shiro Ngọt - 0.5 Gram",https://hatgionglamson.com/san-pham/hat-giong-cai-shiro-ngot-0.5-gram-374.html,/asset/upload/image/hat-giong-cai-shiro.jpg?v=20190410,New,"In Stock","30,000 VND",,
373,"Hạt Giống Bông So Đũa Tứ Quý Thái Đỏ - 10 Hạt","Hạt Giống Bông So Đũa Tứ Quý Thái Đỏ - 10 Hạt",https://hatgionglamson.com/san-pham/hat-giong-bong-so-dua-tu-quy-thai-do-10-hat-373.html,/asset/upload/image/hat-giong-so-dua-tu-quy-thai.jpg?v=20190410,New,"In Stock","30,000 VND",,
372,"Hạt Giống Bạc Hà Âu Pepermint - 100 Hạt","Hạt Giống Bạc Hà Âu Pepermint - 100 Hạt",https://hatgionglamson.com/san-pham/hat-giong-bac-ha-au-pepermint-100-hat-372.html,/asset/upload/image/hat-giong-bac-ha-peppermint.jpg?v=20190410,New,"In Stock","30,000 VND",,
371,"Hạt Giống Cỏ Xạ Hương - 100 Hạt","Hạt Giống Cỏ Xạ Hương - 100 Hạt",https://hatgionglamson.com/san-pham/hat-giong-co-xa-huong-100-hat-371.html,/asset/upload/image/hat-giong-co-xa-huong-thyme.jpg?v=20190410,New,"In Stock","30,000 VND",,
370,"Hạt Giống Xà Lách Xoong Miền Núi - 0.5 Gram","Hạt Giống Xà Lách Xoong Miền Núi - 0.5 Gram",https://hatgionglamson.com/san-pham/hat-giong-xa-lach-xoong-mien-nui-0.5-gram-370.html,/asset/upload/image/hat-giong-xa-lach-xoong-nui.jpg?v=20190410,New,"In Stock","30,000 VND",,
369,"Hạt Giống Cải Xoăn Kale Đỏ - 100 Hạt","Hạt Giống Cải Xoăn Kale Đỏ - 100 Hạt",https://hatgionglamson.com/san-pham/hat-giong-cai-xoan-kale-do-100-hat-369.html,/asset/upload/image/hat-giong-cai-xoan-kale-do.jpg?v=20190410,New,"In Stock","30,000 VND",,
368,"Hạt Giống Súp Lơ Baby Xanh - 100 Hạt","Hạt Giống Súp Lơ Baby Xanh - 100 Hạt",https://hatgionglamson.com/san-pham/hat-giong-sup-lo-baby-xanh-100-hat-368.html,/asset/upload/image/hat-giong-sup-lo-baby.jpg?v=20190410,New,"In Stock","30,000 VND",,
367,"Hạt Giống Bắp Cải Trái Tim Chịu Nhiệt - 100 Hạt","Hạt Giống Bắp Cải Trái Tim Chịu Nhiệt - 100 Hạt",https://hatgionglamson.com/san-pham/hat-giong-bap-cai-trai-tim-chiu-nhiet-100-hat-367.html,/asset/upload/image/hat-giong-bap-cai-trai-tim-ngon-ngot.jpg?v=20190410,New,"In Stock","30,000 VND",,
366,"Hạt Giống Điên Điển - 1 Gram","Hạt Giống Điên Điển - 1 Gram",https://hatgionglamson.com/san-pham/hat-giong-dien-dien-1-gram-366.html,/asset/upload/image/hat-giong-bong-dien-dien.jpg?v=20190410,New,"In Stock","25,000 VND",,
365,"Hạt Giống Hành Tây Vàng - 0.3 Gram","Hạt Giống Hành Tây Vàng - 0.3 Gram",https://hatgionglamson.com/san-pham/hat-giong-hanh-tay-vang-0.3-gram-365.html,/asset/upload/image/hat-giong-hanh-tay-vang.jpg?v=20190410,New,"In Stock","25,000 VND",,
364,"Hạt Giống Khổ Qua Rừng - 10 Hạt","Hạt Giống Khổ Qua Rừng - 10 Hạt",https://hatgionglamson.com/san-pham/hat-giong-kho-qua-rung-10-hat-364.html,/asset/upload/image/hat-giong-kho-qua-rung.jpg?v=20190410,New,"In Stock","25,000 VND",,
363,"Hạt Giống Rau Má - 1 Gram","Hạt Giống Rau Má - 1 Gram",https://hatgionglamson.com/san-pham/hat-giong-rau-ma-1-gram-363.html,/asset/upload/image/hat-giong-cay-rau-ma-la-nho.jpg?v=20190410,New,"In Stock","25,000 VND",,
362,"Hạt Giống So Đũa - 50 Hạt","Hạt Giống So Đũa - 50 Hạt",https://hatgionglamson.com/san-pham/hat-giong-so-dua-50-hat-362.html,/asset/upload/image/hat-giong-cay-so-dua.jpg?v=20190410,New,"In Stock","25,000 VND",,
